From	To
O15254	8310
O15258	11079
O15260	6836
O15264	5603
O15265	6314
O15269	10558
O15270	9517
O15287	2189
O15294	8473
O15304	10572
O15305	5373
O15315	5890
O15318	10622
O15320	4253
O15321	10548
O15327	8821
O15344	4281
O15347	3149
O15350	7161
O15355	5496
O15357	3636
O15360	2175
O15371	8664
O15372	8667
O15379	8841
O15381	4931
O15382	587
O15392	332
O15393	7113
O15397	10526
O15400	8417
O15417	84629
O15427	9123
O15431	1317
O15438	8714
O15439	10257
O15440	10057
O15446	10849
O15455	7098
O15460	8974
O15484	726
O15488	8908
O15527	4968
O15530	5170
O15533	6892
O15541	7737
O15550	7403
O15551	1365
O15554	3783
O43143	1665
O43148	8731
O43149	23140
O43150	8853
O43169	80777
O43172	9128
O43175	26227
O43181	4724
O43182	395
O43187	3656
O43189	5252
O43194	2863
O43237	1783
O43240	5655
O43242	5709
O43251	23543
O43252	9061
O43257	10467
O43264	9183
O43272	5625
O43278	6692
O43286	9334
O43290	9092
O43291	10653
O43292	8733
O43293	1613
O43294	7041
O43295	9901
O43298	23099
O43299	9907
O43301	259217
O43303	9738
O43306	112
O43310	9811
O43314	23262
O43318	6885
O43324	9521
O43325	57149
O43347	4440
O43353	8767
O43361	388567
O43379	284403
O43390	10236
O43395	9129
O43396	9352
O43402	10328
O43414	79033
O43422	5612
O43426	8867
O43427	9158
O43432	8672
O43439	9139
O43447	10465
O43462	51360
O43463	6839
O43464	27429
O43474	9314
O43482	11339
O43488	8574
O43490	8842
O43491	2037
O43493	10618
O43502	5889
O43504	10542
O43505	11041
O43513	9443
O43520	5205
O43521	10018
O43524	2309
O43542	7517
O43567	11342
O43570	771
O43572	11216
O43581	9066
O43583	8562
O43592	11260
O43597	10253
O43598	10591
O43609	10252
O43615	10469
O43617	27095
O43633	27243
O43639	8440
O43657	7105
O43660	5356
O43663	9055
O43665	6001
O43670	7756
O43674	4711
O43676	4709
O43677	4717
O43678	4695
O43681	439
O43683	699
O43684	9184
O43687	9465
O43688	8612
O43704	27284
O43707	81
O43708	2954
O43709	114049
O43715	51499
O43716	283459
O43719	27336
O43731	11015
O43734	10758
O43739	9265
O43741	5565
O43747	164
O43752	10228
O43759	9145
O43760	9144
O43761	9143
O43765	6449
O43766	11019
O43768	2029
O43772	788
O43776	4677
O43790	3892
O43791	8405
O43795	4430
O43805	8636
O43808	10478
O43809	11051
O43813	10314
O43815	6801
O43818	9136
O43819	9997
O43822	755
O43823	10270
O43824	8225
O43826	2542
O43829	7541
O43837	3420
O43847	4898
O43852	813
O43861	374868
O43865	10768
O43896	10749
O43900	4007
O43909	2137
O43913	5001
O43920	4725
O43924	5147
O43929	5000
O43933	5189
O43934	79157
O60216	5885
O60218	57016
O60220	1678
O60229	8997
O60231	8449
O60232	10534
O60237	4660
O60239	9467
O60244	9282
O60256	5636
O60262	2788
O60264	8467
O60266	109
O60268	9764
O60271	9043
O60281	23036
O60282	3800
O60287	9875
O60291	23295
O60292	23094
O60293	196441
O60294	9836
O60296	66008
O60299	9762
O60303	23247
O60304	26048
O60306	9716
O60307	23031
O60308	9731
O60313	4976
O60318	8888
O60331	23396
O60333	23095
O60336	23005
O60337	10299
O60341	23028
O60343	9882
O60344	9718
O60346	23239
O60347	23232
O60353	8323
O60381	26959
O60427	3992
O60437	5493
O60443	1687
O60447	7813
O60449	100526664
O60449	4065
O60462	8828
O60476	10905
O60488	2182
O60493	8724
O60499	8677
O60502	10724
O60503	115
O60504	10174
O60506	10492
O60507	8460
O60508	51362
O60512	8703
O60513	8702
O60516	8637
O60518	26953
O60524	9147
O60547	2762
O60548	2306
O60636	10100
O60563	904
O60566	701
O60568	8985
O60573	9470
O60583	905
O60610	1729
O60613	9403
O60635	10103
O60637	10099
O60645	11336
O60658	5151
O60664	10226
O60669	9194
O60671	5810
O60674	3717
O60675	7975
O60678	10196
O60684	23633
O60701	7358
O60704	8459
O60711	9404
O60716	1500
O60763	8615
O60783	63931
O60784	10043
O60825	5208
O60826	28952
O60828	10084
O60830	10245
O60831	11230
O60832	1736
O60841	9669
O60858	10206
O60869	8721
O60870	22944
O60879	1730
O60884	10294
O60885	23476
O60888	51596
O60890	4983
O60906	6610
O60907	6907
O60911	1515
O60921	3364
O60925	5201
O60927	6992
O60930	246243
O60934	4683
O60936	8996
O60941	1838
O60942	8732
O75027	22
O75052	9722
O75054	3321
O75063	9917
O75064	9909
O75071	9813
O75072	2218
O75083	9948
O75110	10079
O75113	9683
O75116	9475
O75122	23122
O75123	9831
O75127	26024
O75128	23242
O75131	8895
O75132	9889
O75140	9681
O75143	9776
O75144	102723996
O75144	23308
O75145	8541
O75146	9026
O75147	23363
O75150	9810
O75151	5253
O75152	9877
O75153	23277
O75154	9727
O75157	9819
O75164	9682
O75165	23317
O75167	9749
O75170	9701
O75175	4849
O75177	26039
O75179	26057
O75182	23309
O75185	9914
O75190	10049
O75191	9942
O75204	55654
O75208	57017
O75223	79017
O75251	374291
O75306	4720
O75312	8882
O75317	219333
O75319	8446
O75323	2631
O75326	8482
O75330	3161
O75340	10016
O75347	6902
O75348	9550
O75351	9525
O75352	9526
O75354	955
O75356	957
O75362	7764
O75363	8537
O75367	9555
O75368	6451
O75369	2317
O75376	9611
O75379	8674
O75380	4726
O75381	5195
O75382	10612
O75385	8408
O75386	7289
O75387	8501
O75390	1431
O75391	9552
O75394	9553
O75396	9554
O75398	10522
O75400	55660
O75410	6867
O75414	10201
O75419	8318
O75420	64599
O75427	4034
O75431	10651
O75436	9559
O75438	4707
O75439	9512
O75446	8819
O75448	9862
O75449	11104
O75460	2081
O75461	1876
O75467	25799
O75473	8549
O75475	11168
O75477	10613
O75478	6871
O75486	8464
O75487	2239
O75489	4722
O75494	10772
O75496	51053
O75503	1203
O75506	3281
O75509	27242
O75521	10455
O75525	10656
O75528	10474
O75529	27097
O75530	8726
O75531	8815
O75533	23451
O75534	7812
O75554	11193
O75569	8575
O75570	9617
O75575	27297
O75581	4040
O75582	9252
O75586	10001
O75592	23077
O75600	23464
O75607	10360
O75608	10434
O75616	26284
O75643	23020
O75648	55687
O75663	261726
O75665	8481
O75674	10040
O75676	8986
O75683	6838
O75688	5495
O75689	11033
O75691	27340
O75694	9631
O75695	6102
O75712	2707
O75716	8576
O75717	11169
O75718	10491
O75746	8604
O75764	6920
O75771	5892
O75781	5064
O75787	10159
O75792	10535
O75794	8872
O75795	7367
O75808	6650
O75815	8412
O75817	10248
O75818	10799
O75820	7743
O75821	8666
O75822	8669
O75828	874
O75832	5716
O75843	8906
O75844	10269
O75845	6309
O75864	284352
O75865	79090
O75874	3417
O75879	5188
O75880	6341
O75882	8455
O75884	10741
O75886	10254
O75896	11334
O75907	8694
O75909	8812
O75911	9249
O75915	10550
O75925	8554
O75928	9063
O75934	10286
O75935	11258
O75937	22826
O75940	10285
O75943	5884
O75947	10476
O75953	25822
O75954	10867
O75955	10211
O75962	7204
O75964	10632
O75976	1362
O76003	10539
O76021	26156
O76024	7466
O76027	8416
O76031	10845
O76039	6792
O76041	10529
O76054	23541
O76061	8614
O76062	7108
O76064	9025
O76070	6623
O76071	9391
O76074	8654
O76075	1677
O76080	7763
O76082	6584
O76094	6731
O76095	10899
O76096	8530
O77932	1797
O94760	23576
O94761	9401
O94762	9400
O94763	8725
O94766	26229
O94768	9262
O94776	9219
O94782	7398
O94804	6793
O94806	23683
O94811	11076
O94817	9140
O94819	9920
O94822	26046
O94823	23120
O94826	9868
O94829	9670
O94830	23259
O94832	4642
O94842	9878
O94851	9645
O94854	643314
O94855	9871
O94864	9913
O94868	9873
O94874	23376
O94875	8470
O94876	23023
O94880	9678
O94885	23328
O94886	9725
O94887	9855
O94888	26043
O94889	23276
O94898	9860
O94901	23353
O94903	11212
O94905	11160
O94906	24148
O94907	22943
O94910	22859
O94913	51585
O94915	285527
O94916	10725
O94919	23052
O94923	26035
O94925	2744
O94927	23354
O94929	22885
O94941	22888
O94952	23014
O94953	23030
O94955	22836
O94964	140710
O94966	10869
O94967	22911
O94972	4591
O94973	161
O94979	22872
O94985	22883
O94986	22995
O94988	10144
O94992	10614
O95049	27134
O95059	11102
O95067	9133
O95070	10897
O95071	51366
O95073	100861412
O95073	25788
O95081	3268
O95084	11098
O95104	57466
O95125	7753
O95147	11072
O95149	10073
O95154	22977
O95155	10277
O95159	7542
O95163	8518
O95164	5412
O95166	11337
O95167	4696
O95168	4710
O95169	4714
O95171	8796
O95182	4701
O95183	10791
O95197	10313
O95202	3954
O95208	22905
O95210	8987
O95214	23484
O95218	9406
O95219	8723
O95229	11130
O95232	51747
O95235	10112
O95239	24137
O95243	8930
O95248	6305
O95249	9527
O95251	11143
O95260	11101
O95271	8658
O95273	23582
O95278	7957
O95279	8645
O95292	9217
O95294	8437
O95295	23557
O95297	9019
O95298	4718
O95299	4705
O95302	11328
O95319	10659
O95336	25796
O95340	9060
O95342	8647
O95347	10592
O95352	10533
O95359	10579
O95361	10626
O95363	10667
O95365	51341
O95372	11313
O95373	10527
O95376	10425
O95379	25816
O95382	9064
O95391	10569
O95394	5238
O95396	27304
O95400	10421
O95402	9441
O95405	9372
O95406	10175
O95409	7546
O95415	25798
O95425	6840
O95427	23556
O95429	9530
O95433	10598
O95445	55937
O95453	5073
O95455	23483
O95456	8624
O95466	752
O95470	8879
O95471	1366
O95476	23399
O95478	10412
O95479	9563
O95486	10802
O95487	10427
O95503	23466
O95544	65220
O95551	51567
O95562	375035
O95563	25874
O95568	92342
O95571	23474
O95573	2181
O95602	25885
O95613	5116
O95619	8089
O95620	11062
O95625	27107
O95628	4850
O95630	10617
O95633	10272
O95639	10898
O95671	8623
O95674	8760
O95684	11116
O95685	5509
O95696	23774
O95707	10775
O95714	8924
O95716	9545
O95721	9342
O95747	9943
O95749	9453
O95757	22824
O95758	9991
O95759	11138
O95760	90865
O95772	83930
O95777	51691
O95782	160
O95785	58525
O95786	23586
O95789	9204
O95793	6780
O95801	7268
O95807	23585
O95810	8436
O95816	9532
O95817	9531
O95819	9448
O95822	23417
O95825	9946
O95831	9131
O95832	9076
O95833	9022
O95834	24139
O95835	9113
O95848	256281
O95857	27075
O95858	23555
O95861	10380
O95870	7920
O95865	23564
O95873	57827
O95881	51060
O95900	26995
O95905	11319
O95926	25949
O95983	53615
O95985	8940
O95989	11165
O95994	10551
O95996	10297
O95997	9232
O95999	8915
O96000	4716
O96005	1209
O96006	9189
O96007	4338
O96008	10452
O96011	8799
O96013	10298
O96015	10126
O96017	11200
O96018	9546
O96019	86
O96020	9134
O96028	7468
O96033	4338
P00156	4519
P00167	1528
P00338	3939
P00352	216
P00367	2746
P00374	1719
P00387	1727
P00390	2936
P00395	4512
P00403	4513
P00414	4514
P00441	6647
P00488	2162
P00505	2806
P00519	25
P00533	1956
P00558	5230
P00568	203
P00734	2147
P00742	2159
P00747	5340
P00749	5328
P00813	100
P00915	759
P00918	760
P00966	445
P00973	4938
P00995	6690
P01009	5265
P01023	2
P01024	718
P01031	727
P01033	7076
P01034	1471
P01037	1469
P01100	2353
P01106	4609
P01111	4893
P01112	3265
P01116	3845
P01130	3949
P01135	7039
P01137	7040
P01344	3481
P01833	5284
P01903	3122
P01911	3123
P02042	3045
P02452	1277
P02462	1282
P02511	1410
P02533	3861
P02538	3853
P02545	4000
P02647	335
P02649	348
P02655	344
P02656	345
P02686	4155
P02748	735
P02749	350
P02750	116844
P02751	2335
P02753	5950
P02765	197
P02768	213
P02771	174
P02774	2638
P02786	7037
P02788	4057
P02792	2512
P02794	2495
P02795	4502
P03886	4535
P03891	4536
P03897	4537
P03915	4540
P03923	4541
P03928	4509
P03973	6590
P04003	722
P04004	7448
P04035	3156
P04040	847
P04049	5894
P04062	2629
P04066	2517
P04075	226
P04080	1476
P04083	301
P04114	338
P04150	2908
P04155	7031
P04156	5621
P04179	6648
P04181	4942
P04183	7083
P04233	972
P04259	3854
P04264	3848
P04406	2597
P04637	7157
P04732	4493
P04733	4494
P04792	3315
P04818	7298
P04843	6184
P04844	6185
P04899	2771
P04920	6522
P05023	476
P05026	481
P05067	351
P05091	217
P05114	3150
P05120	5055
P05129	5582
P05141	292
P05161	9636
P05162	3957
P05165	5095
P05166	5096
P05187	250
P05198	1965
P05204	3151
P05362	3383
P05386	6176
P05387	6181
P05388	6175
P05412	3725
P05423	661
P05451	5967
P05455	6741
P05496	516
P05549	7020
P05556	3688
P05783	3875
P05787	3856
P05937	793
P06132	7389
P06213	3643
P06239	3932
P06241	2534
P06280	2717
P06396	2934
P06400	5925
P06454	5757
P06493	983
P06576	506
P06681	717
P06703	6277
P06730	1977
P06731	1048
P06733	2023
P06737	5836
P06744	2821
P06746	5423
P06748	4869
P06753	7170
P06756	3685
P06865	3073
P07093	5270
P07099	2052
P07108	1622
P07148	2168
P07195	3945
P07199	1059
P07203	2876
P07205	5232
P07225	5627
P07237	5034
P07305	3005
P07311	97
P07339	1509
P07355	302
P07384	823
P07437	203068
P07476	3713
P07477	5644
P07602	5660
P07686	3074
P07711	1514
P07737	5216
P07738	669
P07741	353
P07814	2058
P07858	1508
P07900	3320
P07902	2592
P07910	3183
P07919	7388
P07942	3912
P07947	7525
P07948	4067
P07951	7169
P07954	2271
P07992	2067
P07996	7057
P08034	2705
P08047	6667
P08069	3480
P08107	3303
P08107	3304
P08123	1278
P08133	309
P08134	389
P08174	1604
P08183	5243
P08195	6520
P08236	2990
P08237	5213
P08238	3326
P08240	6734
P08243	440
P08294	6649
P08397	3145
P08473	4311
P08559	5160
P08574	1537
P08575	5788
P08579	6629
P08581	4233
P08582	4241
P08621	6625
P08648	3678
P08651	4782
P08670	7431
P08727	3880
P08729	3855
P08754	2773
P08758	308
P08779	3868
P08842	412
P08865	3921
P08887	3570
P08910	11057
P08962	967
P09001	11222
P09012	6626
P09104	2026
P09110	30
P09132	6728
P09211	2950
P09234	6631
P09237	4316
P09327	7429
P09382	3956
P09417	5860
P09429	3146
P09455	5947
P09467	2203
P09488	2944
P09493	7168
P09496	1211
P09497	1212
P09525	307
P09543	1267
P09601	3162
P09622	1738
P09629	3217
P09651	3178
P09661	6627
P09668	1512
P09669	1345
P09758	4070
P09874	142
P09884	5422
P09913	3433
P09914	3434
P09917	240
P09936	7345
P09958	5045
P09960	4048
P09972	230
P0C0L4	720
P0C0L4	721
P0C0S5	3015
P0C1Z6	29844
P0C2W1	200933
P0C7P0	284106
P0C7T5	342371
P0C7X2	146542
P0C870	100137047
P0CAP2	81488
P0CG12	54921
P0CG29	2953
P0CG31	729288
P0CG39	653781
P0CJ78	100507290
P0CW22	6218
P0DI81	6399
P0DJ07	100131801
P0DMM9	105369243
P0DMM9	445329
P0DMM9	6818
P10074	3104
P10075	2738
P10109	2230
P10114	5911
P10155	6738
P10176	1351
P10242	4602
P10244	4605
P10253	2548
P10276	5914
P10301	6237
P10321	3107
P10398	369
P10412	3008
P10515	1737
P10586	5792
P10588	2063
P10589	7025
P10599	7295
P10606	1329
P10619	5476
P10620	4257
P10636	4137
P10644	5573
P10645	1113
P10696	251
P10746	7390
P10809	3329
P10827	7067
P10909	1191
P10914	3659
P11021	3309
P11047	3915
P11117	53
P11137	4133
P11142	3312
P11166	6513
P11169	6515
P11171	2035
P11172	7372
P11177	5162
P11182	1629
P11216	5834
P11233	5898
P11234	5899
P11274	613
P11277	6710
P11279	3916
P11310	34
P11387	7150
P11388	7153
P11413	2539
P11441	8266
P11473	7421
P11474	2101
P11498	5091
P11532	1756
P11586	4522
P11717	3482
P11766	128
P11802	1019
P11831	6722
P11908	5634
P11926	4953
P11940	26986
P12004	5111
P12074	1337
P12081	3035
P12104	2169
P12109	1291
P12110	1292
P12235	291
P12236	293
P12259	2153
P12268	3615
P12270	7175
P12277	1152
P12429	306
P12532	1159
P12532	548596
P12644	652
P12694	593
P12755	6497
P12757	6498
P12814	87
P12821	1636
P12830	999
P12931	6714
P12955	5184
P12956	2547
P13010	7520
P13051	7374
P13056	7181
P13073	1327
P13196	211
P13284	10437
P13473	3920
P13489	6050
P13497	649
P13498	1535
P13521	7857
P13569	1080
P13598	3384
P13631	5916
P13637	478
P13639	1938
P13645	3858
P13646	3860
P13647	3852
P13667	9601
P13674	5033
P13688	634
P13693	7178
P13716	210
P13726	2152
P13747	3133
P13796	3936
P13797	5358
P13798	327
P13804	2108
P13807	2997
P13861	5576
P13866	6523
P13928	653145
P13928	728113
P13929	2027
P13984	2963
P13987	966
P13994	81576
P13995	10797
P14091	1510
P14174	4282
P14209	4267
P14314	5589
P14316	3660
P14324	2224
P14373	5987
P14406	1347
P14415	482
P14550	10327
P14555	5320
P14618	5315
P14621	98
P14625	7184
P14635	891
P14649	140465
P14678	6628
P14735	3416
P14854	1340
P14859	5451
P14866	3191
P14868	1615
P14923	3728
P14927	7381
P15036	2114
P15056	673
P15104	2752
P15121	231
P15144	290
P15151	5817
P15153	5880
P15170	2935
P15259	5224
P15260	3459
P15289	410
P15291	2683
P15309	55
P15311	7430
P15313	525
P15328	2348
P15336	1386
P15374	7347
P15407	8061
P15408	2355
P15428	3248
P15509	1438
P15514	374
P15529	4179
P15531	4830
P15559	1728
P15586	2799
P15622	58500
P15735	5261
P15822	3096
P15848	411
P15880	6187
P15882	1123
P15907	6480
P15923	6929
P15924	1832
P15927	6118
P15941	4582
P15954	1350
P16035	7077
P16066	4881
P16070	960
P16083	4835
P16104	3014
P16144	3691
P16152	873
P16157	286
P16219	35
P16220	1385
P16260	8034
P16278	2720
P16298	5532
P16333	4690
P16383	6936
P16401	3009
P16402	3007
P16403	3006
P16415	55552
P16422	4072
P16435	5447
P16442	28
P16444	1800
P16455	4255
P16591	2241
P16615	488
P16671	948
P16885	5336
P16930	2184
P16949	3925
P16989	8531
P17010	7543
P17014	7559
P17020	7564
P17024	7568
P17026	7570
P17028	7572
P17032	7587
P17035	7576
P17036	7551
P17050	4668
P17081	23433
P17096	3159
P17097	7553
P17098	7554
P17152	8834
P17174	2805
P17181	3454
P17252	5578
P17275	3726
P17301	3673
P17480	7343
P17481	3218
P17482	3219
P17483	3214
P17509	3216
P17535	3727
P17540	1160
P17544	11016
P17568	4713
P17612	5566
P17655	824
P17676	1051
P17706	5771
P17707	262
P17812	1503
P17813	2022
P17844	1655
P17858	5211
P17861	7494
P17900	2760
P17931	3958
P17936	3486
P17980	5702
P17987	6950
P18031	5770
P18065	3485
P18074	2068
P18077	6165
P18084	3693
P18085	378
P18124	6129
P18146	1958
P18206	7414
P18283	2877
P18433	5786
P18440	9
P18510	3557
P18564	3694
P18583	6651
P18615	7936
P18621	6139
P18669	5223
P18754	1104
P18827	6382
P18846	466
P18850	22926
P18858	3978
P18859	522
P18887	7515
P19012	3866
P19021	5066
P19075	7103
P19105	10627
P19174	5335
P19224	54578
P19256	965
P19338	4691
P19367	3098
P19387	5432
P19388	5434
P19404	4729
P19419	2002
P19438	7132
P19440	2678
P19447	2071
P19474	6737
P19484	7942
P19525	5610
P19526	2523
P19532	7030
P19623	6723
P19634	6548
P19784	1459
P19793	6256
P19801	26
P19823	3698
P19838	4790
P19957	5266
P19971	1890
P20020	490
P20042	8894
P20073	310
P20226	6908
P20248	890
P20290	689
P20333	7133
P20336	5864
P20337	5865
P20338	5867
P20339	5868
P20340	5870
P20393	9572
P20585	4437
P20591	4599
P20592	4600
P20618	5689
P20645	4074
P20674	9377
P20700	4001
P20711	1644
P20749	602
P20810	831
P20815	1577
P20823	6927
P20827	1942
P20839	3614
P20929	4703
P20933	175
P20936	5921
P20962	5763
P21127	984
P21217	2525
P21266	2947
P21281	526
P21283	528
P21291	1465
P21333	2316
P21359	4763
P21397	4128
P21399	48
P21579	6857
P21580	7128
P21583	4254
P21589	4907
P21673	6303
P21675	6872
P21695	2819
P21709	2041
P21741	4192
P21796	7416
P21802	2263
P21860	2065
P21912	6390
P21926	928
P21953	594
P21964	1312
P21980	7052
P22033	4594
P22059	5007
P22061	5110
P22083	2526
P22087	2091
P22102	2618
P22223	1001
P22234	10606
P22304	3423
P22307	6342
P22309	54658
P22314	7317
P22392	4831
P22392	654364
P22413	5167
P22415	7391
P22455	2264
P22466	51083
P22528	6699
P22531	6704
P22570	2232
P22626	3181
P22670	5989
P22676	794
P22681	867
P22692	3487
P22694	5567
P22695	7385
P22736	3164
P22830	2235
P23025	7507
P23142	2192
P23193	6917
P23229	3655
P23246	6421
P23258	7283
P23284	5479
P23368	4200
P23381	7453
P23396	6188
P23434	2653
P23443	6198
P23458	3716
P23469	5791
P23470	5793
P23497	6672
P23508	4163
P23511	4800
P23526	191
P23528	1072
P23588	1975
P23610	474383
P23610	474384
P23610	8263
P23634	493
P23677	3706
P23743	1606
P23786	1376
P23919	1841
P23921	6240
P24001	9235
P24311	1349
P24385	595
P24386	1121
P24390	10945
P24394	3566
P24468	7026
P24534	1933
P24539	515
P24557	6916
P24588	9495
P24592	3489
P24666	52
P24752	38
P24821	3371
P24844	10398
P24863	892
P24864	898
P24928	5430
P24941	1017
P25098	156
P25092	2984
P25205	4172
P25208	4801
P25311	563
P25325	4357
P25398	6206
P25440	6046
P25445	355
P25490	7528
P25685	3337
P25686	3300
P25705	498
P25774	1520
P25788	5684
P25815	6286
P25963	4792
P26006	3675
P26012	3696
P26038	4478
P26045	5774
P26196	1656
P26232	1496
P26358	1786
P26368	11338
P26373	6137
P26374	1122
P26440	3712
P26447	6275
P26572	4245
P26583	3148
P26599	5725
P26639	6897
P26640	7407
P26641	1937
P26651	7538
P26885	2286
P27037	92
P27105	2040
P27144	205
P27216	312
P27338	4129
P27348	10971
P27361	5595
P27448	4140
P27449	527
P27487	1803
P27540	405
P27635	6134
P27694	6117
