DRUG_ID,DRUG_NAME,THERAPEUTIC_TARGET,PUBCHEM_ID
147,NSC-87877,"SHP1, SHP2",5459322
150,Bicalutamide,Androgen receptor,2375
151,QS11,ARFGAP,42623900
153,Midostaurin,KIT,24202429
154,CHIR-99021,GSK3B,9956119
155,AP-24534,BCR-ABL fusion,24826799
156,AZD6482,PI3K beta (P3C2B),44137675
157,JNK-9L,JNK,NO MATCH
158,PF-562271,FAK,11713159
165,DMOG,Prolyl-4-Hydroxylase,560326
166,FTI-277,Farnesyl transferase (FNTA),3005532
167,OSU-03012,PDK1,10027278
170,Shikonin,unknown,5208
171,AKT inhibitor VIII,"AKT1, AKT2",16218954
172,Embelin,XIAP,3218
173,FH535,unknown,3463933
175,PAC-1,CASP3 agonist,6851947
176,IPA-3,PAK,521106
177,GSK-650394,SGK3,25022668
178,BAY 61-3606,SYK,16760671
180,Thapsigargin,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",446378
182,Obatoclax Mesylate,"BCL-2, BCL-XL, MCL-1",16727411
184,BMS-754807,IGF1R,24785538
185,OSI-906,IGF1R,11640390
186,Bexarotene,Retinioic acid X family agonist,82146
190,Bleomycin,DNA damage,5460769
192,LFM-A13,BTK,9549280
194,AUY922,HSP90,10096043
197,Bryostatin 1,PRKC,5280757
199,Pazopanib,"VEGFR, PDGFRA, PDGFRB, KIT",10113978
200,LAQ824,HDAC,6445533
201,Epothilone B,Microtubules,448013
202,GSK-1904529A,IGF1R,25124816
204,Tipifarnib,Farnesyl transferase (FNTA),159324
207,AS601245,JNK,11422035
1001,AICAR,AMPK agonist,65110
1003,Camptothecin,DNA damage: DNA topoisomerase I,104842
1004,Vinblastine,Microtubules,6710780
1005,Cisplatin,DNA damage: DNA crosslinks,84691
1006,Cytarabine,DNA damage: Inhibits DNA synthesis,6253
1007,Docetaxel,Microtubules,148124
1008,Methotrexate,DHFR,126941
1009,ATRA,retinoic acid and retinoid X receptors agonist,444795
1010,Gefitinib,EGFR,123631
1011,ABT-263,"BCL2, BCL-XL, BCL-W",24978538
1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",5311
1013,Nilotinib,BCR-ABL fusion,644241
1014,RDEA119,"MEK1, MEK2",44182295
1015,CI-1040,"MEK1, MEK2",6918454
1016,Temsirolimus,MTOR,6918289
1017,AZD-2281,"PARP1, PARP2",23725625
1018,ABT-888,"PARP1, PARP2",11960529
1019,Bosutinib,"SRC, ABL, TEC",5328940
1020,Lenalidomide,TNF-alpha,216326
1021,Axitinib,"PDGFR, KIT, VEGFR",6450551
1022,AZD7762,"CHK1, CHK2",11152667
1023,GW 441756,NTRK1,
1024,CEP-701,"FLT3, JAK2, NTRK1, RET",126565
1025,SB 216763,"GSK3A, GSK3B",176158
1026,17-AAG,HSP90,6505803
1028,VX-702,p38,10341154
1029,AMG-706,"VEGFR, RET, KIT, PDGFR",11667893
1030,KU-55933,ATM,5278396
1031,Elesclomol,HSP70,300471
1032,BIBW2992,"EGFR, ERBB2",10184653
1033,GDC-0449,SMO,24776445
1036,PLX4720,BRAF,24180719
1037,BX-795,"TBK1, PDK1, IKK, AURKB, AURKC",10077147
1038,NU-7441,DNAPK,11327430
1039,SL 0101-1,"RSK, AURKB, PIM3",10459196
1042,BIRB 0796,"p38, JNK2",156422
1043,JNK Inhibitor VIII,JNK,11624601
1046,681640,"WEE1, CHK1",10384072
1047,Nutlin-3a (-),MDM2,11433190
1049,PD-173074,"FGFR1, FGFR3",1401
1050,ZM-447439,AURKB,9914412
1052,RO-3306,CDK1,44450571
1053,MK-2206,"AKT1, AKT2",24964624
1054,PD-0332991,"CDK4, CDK6",5330286
1057,NVP-BEZ235,PI3K (Class 1) and MTORC1/2,11977753
1058,GDC0941,PI3K (class 1),17755052
1059,AZD8055,MTORC1/2,25262965
1060,PD-0325901,"MEK1, MEK2",9826528
1061,SB590885,BRAF,11316960
1062,AZD6244,"MEK1, MEK2",10127622
1066,AZD6482,PI3K beta,44137675
1067,CCT007093,PPM1D,NO MATCH
1069,EHT 1864,Rac GTPases,9938202
1072,BMS-708163,g-secretase ,46883536
1129,PF-4708671,p70S6KA (KS6B1),NO MATCH
1133,JNJ-26854165,MDM2,11609586
1149,TW 37,"BCL-2, BCL-XL",11455910
1170,CCT018159,HSP90,5327091
1175,AG-014699,"PARP1, PARP2",9931953
